# CMU Pronouncing Dictionary subset (corpus vocabulary only)
#
# ARPABET phoneme transcriptions for the words that appear in the Mitski lyrics
# corpus. Used by src/mitski_analysis/text.py:rhyme_summary to detect end rhymes
# by comparing the "rime" (last stressed vowel to the end) of line-final words.
#
# Source:  The CMU Pronouncing Dictionary (cmudict), Carnegie Mellon University.
#          https://github.com/cmusphinx/cmudict
# License: Public domain (CMU's BSD-2-Clause-style permissive license; the
#          dictionary data is free for any use).
#
# Format:  one entry per line, "word<TAB>ARPABET phonemes" (e.g. "light<TAB>L AY1 T").
#          Only the primary pronunciation of each word is kept. Lines starting
#          with "#" and blank lines are ignored by the loader.
#
# Generated by scripts/build_pron_lexicon.py from a full cmudict; edit that
# script (or its input), not this file, to regenerate.
a	AH0
about	AH0 B AW1 T
above	AH0 B AH1 V
absence	AE1 B S AH0 N S
absolute	AE1 B S AH0 L UW2 T
abyss	AH0 B IH1 S
according	AH0 K AO1 R D IH0 NG
ace	EY1 S
ache	EY1 K
ached	EY1 K T
aching	EY1 K IH0 NG
across	AH0 K R AO1 S
act	AE1 K T
acted	AE1 K T IH0 D
adin	AH0 D IH1 N
adored	AH0 D AO1 R D
afford	AH0 F AO1 R D
afraid	AH0 F R EY1 D
aft	AE1 F T
after	AE1 F T ER0
afterlife	AE1 F T ER0 L AY2 F
afternoon	AE2 F T ER0 N UW1 N
again	AH0 G EH1 N
against	AH0 G EH1 N S T
age	EY1 JH
ago	AH0 G OW1
ah	AA1
ahead	AH0 HH EH1 D
air	EH1 R
al	AE1 L
alive	AH0 L AY1 V
all	AO1 L
alleys	AE1 L IY0 Z
allow	AH0 L AW1
almost	AO1 L M OW2 S T
alone	AH0 L OW1 N
along	AH0 L AO1 NG
aloud	AH0 L AW1 D
already	AO0 L R EH1 D IY0
alright	AO2 L R AY1 T
also	AO1 L S OW0
always	AO1 L W EY2 Z
am	AE1 M
ama	EY2 EH2 M EY1
amateur	AE1 M AH0 T ER2
amber	AE1 M B ER0
american	AH0 M EH1 R AH0 K AH0 N
among	AH0 M AH1 NG
an	AE1 N
and	AH0 N D
angel	EY1 N JH AH0 L
another	AH0 N AH1 DH ER0
answered	AE1 N S ER0 D
any	EH1 N IY0
anymore	EH2 N IY0 M AO1 R
anyone	EH1 N IY0 W AH2 N
anything	EH1 N IY0 TH IH2 NG
anyway	EH1 N IY0 W EY2
anyways	EH1 N IY0 W EY2 Z
anywhere	EH1 N IY0 W EH2 R
apart	AH0 P AA1 R T
apartment	AH0 P AA1 R T M AH0 N T
apologies	AH0 P AA1 L AH0 JH IY2 Z
apologize	AH0 P AA1 L AH0 JH AY2 Z
appears	AH0 P IH1 R Z
approaching	AH0 P R OW1 CH IH0 NG
approve	AH0 P R UW1 V
ar	AA1 R
are	AA1 R
aren't	AA1 R AH0 N T
arm	AA1 R M
arms	AA1 R M Z
around	ER0 AW1 N D
arrived	ER0 AY1 V D
as	AE1 Z
ask	AE1 S K
asked	AE1 S K T
asking	AE1 S K IH0 NG
asleep	AH0 S L IY1 P
at	AE1 T
ate	EY1 T
atop	AH0 T AA1 P
attic	AE1 T IH0 K
auction	AA1 K SH AH0 N
austin	AO1 S T AH0 N
autumn	AO1 T AH0 M
ave	AA1 V EY2
avenues	AE1 V AH0 N UW2 Z
awaits	AH0 W EY1 T S
awake	AH0 W EY1 K
awakened	AH0 W EY1 K AH0 N D
away	AH0 W EY1
awhile	AH0 W AY1 L
b	B IY1
ba	B IY2 EY1
babe	B EY1 B
baby	B EY1 B IY0
back	B AE1 K
backstroke	B AE1 K S T R OW2 K
backyard	B AE1 K Y AA2 R D
bad	B AE1 D
badly	B AE1 D L IY0
bag	B AE1 G
balcony	B AE1 L K AH0 N IY0
bang	B AE1 NG
bar	B AA1 R
bare	B EH1 R
barefoot	B EH1 R F UH2 T
bars	B AA1 R Z
baseball	B EY1 S B AO1 L
bastard	B AE1 S T ER0 D
bat	B AE1 T
bathe	B EY1 DH
bathroom	B AE1 TH R UW2 M
bathtub	B AE1 TH T AH0 B
be	B IY1
bear	B EH1 R
beast	B IY1 S T
beaten	B IY1 T AH0 N
beautiful	B Y UW1 T AH0 F AH0 L
beautifully	B Y UW1 T AH0 F L IY0
beauty	B Y UW1 T IY0
bebe	B IY1 B IY0
because	B IH0 K AO1 Z
beckon	B EH1 K AH0 N
beckoned	B EH1 K AH0 N D
become	B IH0 K AH1 M
bed	B EH1 D
bedroom	B EH1 D R UW2 M
been	B IH1 N
before	B IH0 F AO1 R
beg	B EH1 G
began	B IH0 G AE1 N
beginning	B IH0 G IH1 N IH0 NG
behaved	B IH0 HH EY1 V D
behind	B IH0 HH AY1 N D
behold	B IH0 HH OW1 L D
being	B IY1 IH0 NG
believe	B IH0 L IY1 V
bell	B EH1 L
bella	B EH1 L AH0
belong	B IH0 L AO1 NG
belongings	B IH0 L AO1 NG IH0 NG Z
belongs	B IH0 L AO1 NG Z
below	B IH0 L OW1
ben	B EH1 N
bend	B EH1 N D
bends	B EH1 N D Z
beni	B EH1 N IY0
bent	B EH1 N T
beside	B IH0 S AY1 D
best	B EH1 S T
bet	B EH1 T
betray	B IH0 T R EY1
better	B EH1 T ER0
between	B IH0 T W IY1 N
beyond	B IH0 AA1 N D
big	B IH1 G
bigger	B IH1 G ER0
biggest	B IH1 G AH0 S T
biology	B AY0 AA1 L AH0 JH IY0
bir	B ER1
bird	B ER1 D
birds	B ER1 D Z
bit	B IH1 T
biter	B AY1 T ER0
black	B L AE1 K
blade	B L EY1 D
blame	B L EY1 M
blank	B L AE1 NG K
blanks	B L AE1 NG K S
blast	B L AE1 S T
bleed	B L IY1 D
blind	B L AY1 N D
block	B L AA1 K
blocked	B L AA1 K T
blond	B L AA1 N D
blood	B L AH1 D
bloodstream	B L AH1 D S T R IY2 M
bloom	B L UW1 M
blossomed	B L AA1 S AH0 M D
blossoming	B L AA1 S AH0 M IH0 NG
blue	B L UW1
blues	B L UW1 Z
blur	B L ER1
bo	B OW1
body	B AA1 D IY0
body's	B AA1 D IY0 Z
bone	B OW1 N
bones	B OW1 N Z
book	B UH1 K
born	B AO1 R N
both	B OW1 TH
bottom	B AA1 T AH0 M
bough	B AW1
bought	B AA1 T
boulevard	B UH1 L AH0 V AA2 R D
bout	B AW1 T
box	B AA1 K S
boy	B OY1
boys	B OY1 Z
brace	B R EY1 S
brain	B R EY1 N
branch	B R AE1 N CH
brand	B R AE1 N D
brave	B R EY1 V
break	B R EY1 K
breaking	B R EY1 K IH0 NG
breath	B R EH1 TH
breathe	B R IY1 DH
breathless	B R EH1 TH L AH0 S
breaths	B R EH1 TH S
breeze	B R IY1 Z
bride	B R AY1 D
bridge	B R IH1 JH
bright	B R AY1 T
bring	B R IH1 NG
broke	B R OW1 K
broken	B R OW1 K AH0 N
brook	B R UH1 K
brother	B R AH1 DH ER0
brow	B R AW1
bruise	B R UW1 Z
brushed	B R AH1 SH T
bubble	B AH1 B AH0 L
bubbling	B AH1 B AH0 L IH0 NG
buffalo	B AH1 F AH0 L OW2
bug	B AH1 G
bugs	B AH1 G Z
build	B IH1 L D
built	B IH1 L T
bumblebees	B AH1 M B AH0 L B IY2 Z
buried	B EH1 R IY0 D
burn	B ER1 N
burning	B ER1 N IH0 NG
burns	B ER1 N Z
burst	B ER1 S T
bury	B EH1 R IY0
businessmen	B IH1 Z N IH0 S M EH2 N
busy	B IH1 Z IY0
but	B AH1 T
butters	B AH1 T ER0 Z
button	B AH1 T AH0 N
buy	B AY1
by	B AY1
cage	K EY1 JH
cake	K EY1 K
call	K AO1 L
called	K AO1 L D
calling	K AO1 L IH0 NG
calm	K AA1 M
calmed	K AA1 M D
calmly	K AA1 M L IY0
came	K EY1 M
can	K AE1 N
can't	K AE1 N T
candle	K AE1 N D AH0 L
candy	K AE1 N D IY0
cannot	K AE1 N AA0 T
capture	K AE1 P CH ER0
car	K AA1 R
card	K AA1 R D
care	K EH1 R
cared	K EH1 R D
carefully	K EH1 R F AH0 L IY0
careless	K EH1 R L AH0 S
caring	K EH1 R IH0 NG
carried	K AE1 R IY0 D
carries	K AE1 R IY0 Z
carry	K AE1 R IY0
carrying	K AE1 R IY0 IH0 NG
cars	K AA1 R Z
case	K EY1 S
cat	K AE1 T
cat's	K AE1 T S
cats	K AE1 T S
caught	K AA1 T
cause	K AA1 Z
ceiling	S IY1 L IH0 NG
chair	CH EH1 R
chance	CH AE1 N S
change	CH EY1 N JH
changed	CH EY1 N JH D
charm	CH AA1 R M
chase	CH EY1 S
chasing	CH EY1 S IH0 NG
check	CH EH1 K
cheek	CH IY1 K
cheer	CH IH1 R
chemical	K EH1 M AH0 K AH0 L
chewing	CH UW1 IH0 NG
child	CH AY1 L D
choice	CH OY1 S
choir	K W AY1 ER0
choke	CH OW1 K
choose	CH UW1 Z
chore	CH AO1 R
chorus	K AO1 R AH0 S
chose	CH OW1 Z
chris	K R IH1 S
christmas	K R IH1 S M AH0 S
ciao	CH AW1
cigarettes	S IH2 G ER0 EH1 T S
circled	S ER1 K AH0 L D
circles	S ER1 K AH0 L Z
citronella	S IH2 T R AA0 N EH1 L AH0
city	S IH1 T IY0
clap	K L AE1 P
clean	K L IY1 N
clear	K L IH1 R
clearly	K L IH1 R L IY0
cliff	K L IH1 F
climbed	K L AY1 M D
clock	K L AA1 K
close	K L OW1 S
closed	K L OW1 Z D
closer	K L OW1 S ER0
closing	K L OW1 Z IH0 NG
clothes	K L OW1 DH Z
clouds	K L AW1 D Z
clover	K L OW1 V ER0
coffee	K AA1 F IY0
coin	K OY1 N
cold	K OW1 L D
colleagues	K AA1 L IY0 G Z
color	K AH1 L ER0
colors	K AH1 L ER0 Z
come	K AH1 M
comes	K AH1 M Z
comfort	K AH1 M F ER0 T
comfortable	K AH1 M F ER0 T AH0 B AH0 L
coming	K AH1 M IH0 NG
consequences	K AA1 N S AH0 K W EH2 N S AH0 Z
constantly	K AA1 N S T AH0 N T L IY0
control	K AH0 N T R OW1 L
cookie	K UH1 K IY0
cookies	K UH1 K IY0 Z
cool	K UW1 L
corner	K AO1 R N ER0
costs	K AA1 S T S
cotton	K AA1 T AH0 N
could	K UH1 D
couldn't	K UH1 D AH0 N T
counting	K AW1 N T IH0 NG
course	K AO1 R S
cover	K AH1 V ER0
covered	K AH1 V ER0 D
coward	K AW1 ER0 D
coyote	K AY0 OW1 T IY0
crack	K R AE1 K
craving	K R EY1 V IH0 NG
crawl	K R AO1 L
crazy	K R EY1 Z IY0
creak	K R IY1 K
creatures	K R IY1 CH ER0 Z
credit	K R EH1 D AH0 T
crib	K R IH1 B
cried	K R AY1 D
cries	K R AY1 Z
crossed	K R AO1 S T
crowd	K R AW1 D
cruel	K R UW1 AH0 L
crumble	K R AH1 M B AH0 L
crushed	K R AH1 SH T
cry	K R AY1
crying	K R AY1 IH0 NG
cue	K Y UW1
cum	K AH1 M
cups	K AH1 P S
curb	K ER1 B
curls	K ER1 L Z
curses	K ER1 S IH0 Z
curtains	K ER1 T AH0 N Z
curving	K ER1 V IH0 NG
cuts	K AH1 T S
d	D IY1
da	D AA1
daddy	D AE1 D IY0
daily	D EY1 L IY0
damn	D AE1 M
dan	D AE1 N
dance	D AE1 N S
danced	D AE1 N S T
